name,company,year,Price,kms_driven,fuel_type
Kwid RXT,Renault,2019.0,370000,1000.0,Petrol
Nano Lx BSIV,Tata,2010.0,52000,9000.0,Petrol
XE XE Portfolio,Jaguar,2016.0,2800000,8500.0,Petrol
Eon Magna Plus,Hyundai,2014.0,190000,35000.0,Petrol
City 1.5 S MT,Honda,2014.0,499000,22000.0,Petrol
Motors Ambassador,Hindustan,2002.0,90000,25000.0,Diesel
Suzuki Ritz GENUS VXI,Maruti,2010.0,149000,40000.0,Petrol
Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017.0,400000,20000.0,Petrol
Eon D Lite Plus,Hyundai,2016.0,120000,87000.0,Petrol
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015.0,250000,55000.0,Petrol
Suzuki Wagon R VXI BS IV,Maruti,2017.0,375000,23000.0,Petrol
Amaze 1.2 VX i VTEC,Honda,2014.0,381000,6000.0,Petrol
Suzuki Estilo VXi ABS BS IV,Maruti,2013.0,180000,65000.0,Petrol
Suzuki Vitara Brezza LDi O,Maruti,2016.0,580000,25000.0,Diesel
Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,278000,39000.0,Petrol
Creta 1.6 SX Plus Petrol AT,Hyundai,2016.0,1000000,8000.0,Petrol
Scorpio Vlx BSIV,Mahindra,2013.0,690000,75000.0,Diesel
Suzuki Ertiga VDi,Maruti,2012.0,480000,51000.0,Diesel
Lancer 1.8 LXi,Mitsubishi,2006.0,85000,50000.0,Petrol
Suzuki Alto 800 LXI CNG O,Maruti,2015.0,90000,55800.0,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015.0,340000,53000.0,Petrol
Eon D Lite Plus,Hyundai,2018.0,260000,25000.0,Petrol
Fiesta SXi 1.6 ABS,Ford,2009.0,250000,56400.0,Petrol
Suzuki Ritz VDi,Maruti,2010.0,180000,72160.0,Diesel
Verna Fluidic New,Hyundai,2012.0,350000,10000.0,Diesel
Suzuki Wagon R LXi BS III,Maruti,2006.0,90001,48000.0,Petrol
Suzuki Estilo LX BS IV,Maruti,2007.0,115000,36000.0,Petrol
A6 2.0 TDI Premium,Audi,2012.0,1599000,11500.0,Diesel
Suzuki Wagon R LXi BS III,Maruti,2003.0,130000,133000.0,Petrol
Suzuki Wagon R,Maruti,2009.0,159000,27000.0,Petrol
Suzuki Wagon R,Maruti,2009.0,160000,35000.0,Petrol
Suzuki Alto,Maruti,2010.0,110000,55000.0,Petrol
Suzuki Baleno Sigma 1.2,Maruti,2016.0,425000,40000.0,Petrol
Verna 1.6 SX VTVT AT,Hyundai,2019.0,900000,2000.0,Petrol
Suzuki Swift GLAM,Maruti,2009.0,150000,45000.0,Petrol
Getz Prime 1.3 GVS,Hyundai,2009.0,110000,20000.0,Petrol
Santro,Hyundai,2000.0,51999,88000.0,Petrol
Getz Prime 1.3 GLX,Hyundai,2009.0,115000,20000.0,Petrol
Beat PS Diesel,Chevrolet,2012.0,215000,65422.0,Diesel
EcoSport Trend 1.5 Ti VCT,Ford,2017.0,580000,10000.0,Petrol
Suzuki Dzire ZXI,Maruti,2013.0,380000,35000.0,Petrol
Fluidic Verna 1.6 CRDi SX,Hyundai,2013.0,350000,117000.0,Diesel
X1 xDrive20d xLine,BMW,2011.0,1150000,72000.0,Diesel
i20 Asta 1.2,Hyundai,2010.0,300000,10750.0,Petrol
City 1.5 V AT,Honda,2009.0,269000,55000.0,Petrol
Nano,Tata,2013.0,60000,6800.0,Petrol
Cruze LTZ AT,Chevrolet,2014.0,400000,41000.0,Diesel
Verna Fluidic New,Hyundai,2015.0,430000,73000.0,Diesel
Suzuki Swift Dzire VDi,Maruti,2011.0,140000,65000.0,Diesel
XUV500 W10,Mahindra,2018.0,1299000,40000.0,Diesel
Suzuki Alto K10 LXi CNG,Maruti,2014.0,199000,37000.0,Petrol
Accent GLE,Hyundai,2006.0,90000,55000.0,Petrol
Motors One SUV,Force,2013.0,550000,140000.0,Diesel
Suzuki Alto,Maruti,2019.0,265000,9800.0,Petrol
Spark 1.0 LT,Chevrolet,2011.0,100000,27000.0,Petrol
i10,Hyundai,2009.0,215000,27000.0,Petrol
Etios Liva GD,Toyota,2012.0,380000,20000.0,Diesel
Duster 85PS Diesel RxL Optional with Nav,Renault,2013.0,401919,57923.0,Diesel
Enjoy,Chevrolet,2014.0,490000,30201.0,Diesel
Suzuki Alto 800 Lxi,Maruti,2017.0,280000,6200.0,Petrol
5 Series 530i,BMW,2009.0,650000,37518.0,Petrol
Etios Liva G,Toyota,2014.0,160000,24652.0,Petrol
Jeep MM 550 XDB,Mahindra,2004.0,424000,383.0,Diesel
Beat LS Diesel,Chevrolet,2016.0,225000,95000.0,Diesel
Cruze LTZ,Chevrolet,2011.0,350000,35000.0,Diesel
Wrangler Unlimited 4x4 Diesel,Jeep,2015.0,950000,3528.0,Diesel
Suzuki Ertiga VDi,Maruti,2013.0,485000,52500.0,Diesel
Verna VGT CRDi SX ABS,Hyundai,2010.0,205000,47900.0,Diesel
Suzuki Omni,Maruti,2012.0,160000,14000.0,Petrol
Suzuki Celerio VDi,Maruti,2018.0,310000,37000.0,Petrol
Zest Quadrajet 1.3,Tata,2017.0,180000,90000.0,Diesel
XUV500 W6,Mahindra,2013.0,549900,52800.0,Diesel
Indigo CS eLX BS IV,Tata,2016.0,150000,104000.0,Diesel
i10 Era,Hyundai,2011.0,175000,30000.0,Petrol
Indigo eCS LX TDI BS III,Tata,2014.0,95000,195000.0,Diesel
Indigo LX TDI BS III,Tata,2016.0,230000,104000.0,Diesel
Indigo eCS LX CR4 BS IV,Tata,2016.0,230000,104000.0,Diesel
Indigo Marina LS,Tata,2004.0,180000,70000.0,Diesel
Xcent SX 1.2,Hyundai,2015.0,400000,43000.0,Diesel
Eon Magna Plus,Hyundai,2013.0,185000,23000.0,Petrol
Duster 85 PS RxL Diesel,Renault,2015.0,385000,51000.0,Diesel
Suzuki Alto K10 LXi CNG,Maruti,2009.0,90000,62000.0,Petrol
Duster 110 PS RxZ Diesel,Renault,2013.0,435000,39000.0,Diesel
Suzuki Wagon R AX BSIV,Maruti,2010.0,225000,40000.0,Petrol
Suzuki Swift,Maruti,2006.0,189700,48247.0,Petrol
Suzuki Ertiga,Maruti,2012.0,389700,39000.0,Diesel
Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014.0,365000,23000.0,Petrol
Suzuki Alto K10 New,Maruti,2017.0,360000,9400.0,Petrol
i20 Magna,Hyundai,2010.0,210000,50000.0,Petrol
i10 Magna 1.2,Hyundai,2009.0,170000,75000.0,Petrol
Zest XE 75 PS Diesel,Tata,2017.0,380000,70000.0,Diesel
Xylo E8,Mahindra,2009.0,295000,64000.0,Diesel
Corolla Altis GL Petrol,Toyota,2010.0,185000,55000.0,Petrol
Manza Aqua Quadrajet,Tata,2014.0,160000,200000.0,Diesel
Kwid 1.0,Renault,2018.0,290000,2137.0,Petrol
Venture EX 8 STR,Tata,2013.0,100000,30000.0,Diesel
Suzuki Swift Dzire Tour LXi,Maruti,2014.0,315000,44000.0,Petrol
Octavia Classic 1.9 TDI MT,Skoda,2006.0,114990,65000.0,Diesel
Suzuki Omni LPG BS IV,Maruti,2012.0,120000,160000.0,LPG
Beat Diesel,Chevrolet,2011.0,125000,56000.0,Diesel
Sumo Gold EX BS IV,Tata,2012.0,210000,75000.0,Diesel
Verna 1.6 CRDI SX,Hyundai,2018.0,855000,42000.0,Diesel
Scorpio 2.6 CRDe,Mahindra,2007.0,260000,56000.0,Diesel
Suzuki Zen LXi BS III,Maruti,2002.0,95000,10544.0,Petrol
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,255000,64000.0,Petrol
Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008.0,300000,70000.0,Diesel
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014.0,340000,25000.0,Petrol
Elite i20 Sportz 1.2,Hyundai,2017.0,550000,15000.0,Petrol
Ikon 1.6 Nxt,Ford,2003.0,60000,50000.0,Petrol
Innova 2.5 V 7 STR,Toyota,2011.0,750000,147000.0,Diesel
Sunny XL,Nissan,2011.0,230000,52000.0,Petrol
Beat LT Diesel,Chevrolet,2012.0,130000,90001.0,Diesel
Suzuki Alto 800 Lxi,Maruti,2017.0,270000,21000.0,Petrol
Suzuki Swift VDi BS IV,Maruti,2012.0,280000,48006.0,Diesel
Suzuki Swift,Maruti,2012.0,280000,48006.0,Diesel
Innova 2.0 G4,Toyota,2012.0,600000,80000.0,Diesel
Suzuki Swift VDi ABS,Maruti,2010.0,190000,74000.0,Diesel
Elite i20 Asta 1.2,Hyundai,2015.0,500000,22000.0,Petrol
XUV500 W10,Mahindra,2016.0,1065000,41000.0,Diesel
Polo Trendline 1.5L D,Volkswagen,2015.0,350000,25000.0,Diesel
Etios Liva Diesel,Toyota,2012.0,350000,85000.0,Diesel
TUV300 T4 Plus,Mahindra,2016.0,540000,29500.0,Diesel
Elite i20 Asta 1.2,Hyundai,2015.0,470000,30000.0,Petrol
Santro Xing GLS,Hyundai,2014.0,179000,57000.0,Petrol
Suzuki Ciaz ZXi Plus RS,Maruti,2016.0,650000,50000.0,Petrol
Eon Era Plus,Hyundai,2013.0,190000,39700.0,Petrol
Elantra 1.8 S,Hyundai,2012.0,500000,65000.0,Petrol
Suzuki Swift VDi,Maruti,2010.0,270000,67000.0,Diesel
Suzuki Zen Estilo LXI Green CNG,Maruti,2008.0,125000,46000.0,Petrol
Eon Era Plus,Hyundai,2012.0,188000,38000.0,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016.0,380000,27000.0,Petrol
Verna Fluidic New,Hyundai,2011.0,365000,43000.0,Diesel
EcoSport Trend 1.5L Ti VCT,Ford,2014.0,465000,47000.0,Petrol
i20 Magna,Hyundai,2011.0,240000,42000.0,Petrol
Beat Diesel,Chevrolet,2016.0,179999,19336.0,Diesel
Indica eV2 LS,Tata,2015.0,140000,60105.0,Diesel
XF 2.2 Diesel Luxury,Jaguar,2013.0,2190000,29000.0,Diesel
Q5 2.0 TDI quattro Premium Plus,Audi,2014.0,2390000,34000.0,Diesel
3 Series 320d Sedan,BMW,2011.0,1075000,35000.0,Diesel
Suzuki Swift ZXi 1.2 BS IV,Maruti,2015.0,475000,22000.0,Petrol
X1 sDrive20d,BMW,2012.0,1025000,41000.0,Diesel
Suzuki S Cross Sigma 1.3,Maruti,2016.0,615000,21000.0,Diesel
Suzuki Ertiga LDi,Maruti,2013.0,475000,48000.0,Diesel
Suzuki Alto K10 VXi AMT,Maruti,2016.0,270000,38000.0,Petrol
City SV,Honda,2014.0,475000,34000.0,Diesel
Vento Comfortline Petrol,Volkswagen,2011.0,240000,45933.0,Petrol
City 1.5 EXi New,Honda,2005.0,120000,68000.0,Petrol
A4 2.0 TDI 177bhp Premium,Audi,2016.0,1900000,44000.0,Diesel
KUV100,Mahindra,2017.0,360000,35000.0,Diesel
Zest XE 75 PS Diesel,Tata,2018.0,450000,102563.0,Diesel
XUV500 W8,Mahindra,2015.0,900000,28600.0,Diesel
Suzuki Swift Dzire Tour VDi,Maruti,2017.0,650000,41800.0,Diesel
Sumo Gold LX BS IV,Tata,2014.0,275000,116000.0,Diesel
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2009.0,210000,59000.0,Petrol
Scorpio 2.6 SLX,Mahindra,2004.0,175000,58000.0,Diesel
Suzuki Omni 8 STR BS III,Maruti,2009.0,85000,45000.0,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015.0,1490000,42590.0,Diesel
Duster,Renault,2014.0,800000,7400.0,Diesel
Jetta Comfortline 1.9 TDI AT,Volkswagen,2009.0,450000,54500.0,Diesel
Suzuki Ertiga Vxi,Maruti,2012.0,1000000,200000.0,Diesel
A4 2.0 TDI 177bhp Premium,Audi,2013.0,1510000,27000.0,Diesel
S80 Summum D4,Volvo,2015.0,1850000,42000.0,Diesel
Corolla Altis VL AT Petrol,Toyota,2014.0,790000,29000.0,Petrol
Pajero Sport 2.5 AT,Mitsubishi,2015.0,1725000,37000.0,Diesel
Beat LT Petrol,Chevrolet,2012.0,135000,36000.0,Petrol
X1,BMW,2011.0,1000000,34000.0,Diesel
Redi GO S,Datsun,2018.0,299999,7000.0,Petrol
Benz C Class C 220 CDI Avantgarde,Mercedes,2009.0,1225000,76000.0,Diesel
Scorpio SLX,Mahindra,2004.0,175000,60000.0,Diesel
Vento Comfortline Diesel,Volkswagen,2011.0,200000,95000.0,Diesel
Indigo CS GLS,Tata,2017.0,270000,50000.0,Diesel
Figo Petrol Titanium,Ford,2019.0,525000,0.0,Petrol
City ZX GXi,Honda,2006.0,180000,50000.0,Petrol
Suzuki Wagon R Duo Lxi,Maruti,2008.0,140000,68000.0,Petrol
EcoSport Trend 1.5L TDCi,Ford,2014.0,400000,16000.0,Petrol
Suzuki Swift Dzire VDi,Maruti,2016.0,499000,51000.0,Diesel
Suzuki Omni 8 STR BS III,Maruti,2009.0,85000,56000.0,Petrol
Suzuki Zen LX BSII,Maruti,2004.0,70000,100000.0,Petrol
Duster RxL Petrol,Renault,2015.0,550000,36000.0,Petrol
Suzuki Swift VXi 1.2 BS IV,Maruti,2014.0,370000,11523.0,Petrol
Suzuki Baleno Zeta 1.2,Maruti,2018.0,690000,1000.0,Petrol
WR V S MT Petrol,Honda,2009.0,250000,60000.0,Petrol
Indigo CS eLX BS IV,Tata,2016.0,110000,85000.0,Diesel
Duster 110 PS RxL Diesel,Renault,2013.0,490000,38600.0,Diesel
Scorpio LX BS III,Mahindra,2009.0,320000,95500.0,Diesel
Suzuki Zen LXi BS III,Maruti,2004.0,68000,56000.0,Petrol
Suzuki Wagon R LXi BS III,Maruti,2014.0,130000,37458.0,Petrol
Suzuki SX4 Celebration Diesel,Maruti,2016.0,970000,85960.0,Diesel
A3 Cabriolet 40 TFSI,Audi,2015.0,3100000,12516.0,Petrol
Eon D Lite Plus,Hyundai,2018.0,280000,35000.0,Petrol
Suzuki Zen Estilo LXI Green CNG,Maruti,2009.0,125000,0.0,Petrol
Scorpio SLX,Mahindra,2008.0,285000,80000.0,Diesel
Santro AE GLS Audio,Hyundai,2011.0,165000,45000.0,Petrol
Suzuki Swift Dzire Tour VDi,Maruti,2009.0,250000,51000.0,Diesel
Xylo D2 BS IV,Mahindra,2011.0,390000,48000.0,Diesel
Santro,Hyundai,2003.0,60000,51000.0,Petrol
Beat LT Diesel,Chevrolet,2015.0,215000,90000.0,Diesel
Suzuki Swift Dzire VDi,Maruti,2015.0,475000,43000.0,Diesel
XUV500 W8,Mahindra,2015.0,899000,53000.0,Diesel
Fortuner 3.0 4x4 MT,Toyota,2013.0,1499000,97000.0,Diesel
Suzuki Alto K10 VXi,Maruti,2013.0,240000,20000.0,Petrol
Getz GLE,Hyundai,2007.0,99000,55000.0,Petrol
Suzuki Swift Dzire Tour LDi,Maruti,2014.0,260000,120000.0,Diesel
Creta 1.6 SX,Hyundai,2019.0,1200000,0.0,Petrol
Santro Xing XL AT eRLX Euro III,Hyundai,2007.0,115000,46000.0,Petrol
Santro Xing XL eRLX Euro III,Hyundai,2009.0,88000,43200.0,Petrol
Xylo D2 BS IV,Mahindra,2011.0,390000,56000.0,Diesel
Santro Xing XL eRLX Euro III,Hyundai,2007.0,135000,42000.0,Petrol
Indica V2 DLS BS III,Tata,2009.0,90000,30600.0,Diesel
i10 Sportz 1.2,Hyundai,2011.0,220000,38000.0,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017.0,424999,2550.0,Petrol
Santro Xing XL AT eRLX Euro III,Hyundai,2007.0,135000,47000.0,Petrol
City 1.5 E MT,Honda,2005.0,95000,41000.0,Petrol
Micra XL,Nissan,2017.0,430000,62500.0,Diesel
City 1.5 S Inspire,Honda,2005.0,115000,68000.0,Petrol
Suzuki Alto 800 Lxi,Maruti,2015.0,215000,50000.0,Petrol
Suzuki Wagon R LX BS III,Maruti,2004.0,53000,69000.0,Petrol
Suzuki Ertiga VDi,Maruti,2012.0,500000,48000.0,Diesel
Indica eV2 eXeta eGLX,Tata,2012.0,85000,55000.0,Diesel
Suzuki Omni E 8 STR BS IV,Maruti,2013.0,165000,25000.0,Petrol
Eon Era Plus,Hyundai,2014.0,200000,28400.0,Petrol
Eon,Hyundai,2014.0,200000,28000.0,Petrol
Suzuki Swift LDi,Maruti,2015.0,425000,42000.0,Diesel
Verna 1.6 CRDI SX Plus AT,Hyundai,2012.0,600000,29000.0,Diesel
Tavera LS B3 10 Seats BSII,Chevrolet,2005.0,130000,68485.0,Diesel
Tiago Revotron XM,Tata,2018.0,430000,3500.0,Petrol
Tiago Revotorq XZ,Tata,2019.0,568500,0.0,Petrol
Suzuki Zen LXi BS III,Maruti,2006.0,71000,32000.0,Petrol
KUV100 K8 D 6 STR,Mahindra,2018.0,560000,8000.0,Diesel
EcoSport Titanium 1.5 TDCi,Ford,2014.0,590000,34000.0,Diesel
Motors Ambassador Classic Mark 4 – Befo,Hindustan,1995.0,750000,37000.0,Petrol
Fusion 1.4 TDCi Diesel,Ford,2007.0,125000,85455.0,Diesel
Santro Xing XL AT eRLX Euro III,Hyundai,2007.0,135000,46000.0,Petrol
Santro,Hyundai,2002.0,60000,47000.0,Petrol
Linea Emotion 1.4 L T Jet Petrol,Fiat,2009.0,120000,64000.0,Petrol
Ikon 1.3 Flair Josh 100,Ford,2008.0,95000,46000.0,Petrol
Suzuki Omni E 8 STR BS IV,Maruti,2017.0,240000,8000.0,Petrol
Indica V2 LS,Tata,2012.0,115000,64000.0,Diesel
Scorpio S4,Mahindra,2015.0,795000,63000.0,Diesel
Santro Xing XL eRLX Euro III,Hyundai,2007.0,55000,65000.0,Petrol
Xylo D2,Mahindra,2009.0,300000,62000.0,Diesel
Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014.0,320000,41000.0,Petrol
Suzuki Alto 800 Lxi,Maruti,2015.0,265000,14000.0,Petrol
Corolla,Toyota,2006.0,160000,40000.0,Petrol
Eon Magna,Hyundai,2017.0,300000,1600.0,Petrol
Sumo Grande MKII GX,Tata,2010.0,130000,90000.0,Diesel
Suzuki Swift VDi,Maruti,2011.0,250000,58000.0,Diesel
Polo Highline1.2L P,Volkswagen,2013.0,380000,27000.0,Petrol
Tiago Revotron XZ,Tata,2017.0,400000,31000.0,Petrol
Suzuki Swift LDi,Maruti,2009.0,120000,90000.0,Diesel
Suzuki Swift VDi,Maruti,2009.0,120000,90000.0,Diesel
Indigo eCS,Tata,2016.0,130000,150000.0,Diesel
Beat LS Diesel,Chevrolet,2014.0,189000,31000.0,Diesel
Xylo E8 BS IV,Mahindra,2011.0,365000,43000.0,Diesel
Eon D Lite Plus,Hyundai,2013.0,170000,20000.0,Petrol
Sumo Gold FX BSIII,Tata,2013.0,215000,100000.0,Petrol
Nano,Tata,2013.0,60000,7000.0,Petrol
Elite i20,Hyundai,2017.0,599999,31000.0,Petrol
i10 Magna 1.2 Kappa2,Hyundai,2009.0,400000,33000.0,Petrol
Creta,Hyundai,2016.0,900000,60000.0,Diesel
Polo,Volkswagen,2013.0,299999,48000.0,Diesel
Suzuki Dzire,Maruti,2014.0,374999,33000.0,Petrol
Bolt XM Petrol,Tata,2015.0,600000,15000.0,Petrol
Suzuki Alto 800 Lx,Maruti,2005.0,70000,47000.0,Petrol
Suzuki Alto,Maruti,2005.0,100000,40000.0,Petrol
Suzuki Ritz,Maruti,2010.0,150000,38000.0,Diesel
Suzuki Alto 800 Lxi,Maruti,2017.0,225000,12500.0,Petrol
Suzuki Dzire,Maruti,2009.0,210000,42000.0,Petrol
i20 Asta,Hyundai,2014.0,425000,31000.0,Petrol
Suzuki Swift Select Variant,Maruti,2008.0,162000,60000.0,Diesel
Indica V2 DLX BS III,Tata,2005.0,60000,80000.0,Diesel
Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,2014.0,650000,77000.0,Diesel
Innova 2.5 E 8 STR,Toyota,2012.0,750000,75000.0,Diesel
Xylo E8,Mahindra,2010.0,375000,40000.0,Diesel
i20 Magna 1.2,Hyundai,2011.0,230000,47000.0,Petrol
KUV100,Mahindra,2016.0,380000,26500.0,Petrol
KUV100 K8 6 STR,Mahindra,2019.0,560000,2875.0,Petrol
Go Plus,Datsun,2016.0,285000,13900.0,Petrol
Endeavor 4x4 Thunder Plus,Ford,2019.0,2900000,9000.0,Diesel
Santro Xing GL,Hyundai,2006.0,85000,60000.0,Petrol
Suzuki Wagon R 1.0 VXi,Maruti,2016.0,395000,20000.0,Petrol
Suzuki Swift Select Variant,Maruti,2008.0,175000,58000.0,Diesel
Suzuki Alto 800 Lx,Maruti,2019.0,400000,1500.0,Petrol
Innova 2.5 Z Diesel 7 Seater,Toyota,2011.0,750000,75000.0,Diesel
Suzuki Alto 800,Maruti,2016.0,250000,2450.0,Petrol
Suzuki Alto AX,Maruti,2019.0,425000,1625.0,Petrol
Polo Highline1.2L P,Volkswagen,2017.0,525000,45000.0,Petrol
Logan,Mahindra,2009.0,130000,65000.0,Diesel
Scorpio,Mahindra,2011.0,475000,60123.0,Diesel
Sail 1.2 LS,Chevrolet,2013.0,300000,28000.0,Petrol
Santro AE GLS Audio,Hyundai,2003.0,60000,70000.0,Petrol
Suzuki Wagon R VXi Minor,Maruti,2006.0,100000,7000.0,Petrol
Eon,Hyundai,2018.0,260000,25000.0,Petrol
Manza,Tata,2015.0,100000,100000.0,Diesel
Etios G,Toyota,2013.0,265000,42000.0,Petrol
Qualis,Toyota,2003.0,180000,100000.0,Diesel
Indica eV2 LS,Tata,2016.0,50500,91200.0,Diesel
City 1.5 S MT,Honda,2009.0,270000,55000.0,Petrol
Zest XE 75 PS Diesel,Tata,2017.0,290000,120000.0,Diesel
Quanto C4,Mahindra,2013.0,325000,63000.0,Diesel
Indigo eCS LX CR4 BS IV,Tata,2016.0,160000,104000.0,Diesel
Suzuki Swift Dzire,Maruti,2016.0,350000,146000.0,Diesel
Elite i20,Hyundai,2011.0,290000,40000.0,Petrol
i20 Select Variant,Hyundai,2011.0,290000,40000.0,Petrol
Tavera Neo,Chevrolet,2007.0,465000,100800.0,Diesel
Suzuki Dzire,Maruti,2016.0,325000,150000.0,Diesel
Elite i20,Hyundai,2018.0,510000,2100.0,Petrol
City VX Petrol,Honda,2016.0,860000,95000.0,Petrol
Suzuki Dzire,Maruti,2016.0,450000,2500.0,Diesel
Getz,Hyundai,2006.0,125000,80000.0,Petrol
Benz C Class 200 K MT,Mercedes,2006.0,500001,15000.0,Petrol
Suzuki Alto LXi BS III,Maruti,2005.0,95000,65000.0,Petrol
Fabia,Skoda,2009.0,110000,45000.0,Petrol
Suzuki Ritz VXI ABS,Maruti,2011.0,270000,50000.0,Petrol
Indica V2 DLE BS III,Tata,2009.0,110000,30000.0,Diesel
Corolla Altis,Toyota,2009.0,300000,132000.0,Petrol
Zest XM Diesel,Tata,2018.0,260000,27000.0,Diesel
Quanto C8,Mahindra,2013.0,390000,40000.0,Diesel
